Pilier_Principal,Engagement,Forme,Nom,Niveau,Individu,Entreprise,Cooperation,Communaute,Apprendre,Responsabiliser,Célébrer,Rencontrer
Pillier Individu,Apprendre,Evenement,Faire participer ses enfants au JCI Kids Camp,Z,80.0,0.0,20.0,0.0,40.0,0.0,20.0,40.0
Pillier Individu,Apprendre,Evenement,participer à 1 journée de formation régionale,R,100.0,0.0,0.0,0.0,60.0,0.0,10.0,30.0
Pillier Individu,Célébrer,Evenement,participer à un congrès régional,R,100.0,0.0,0.0,0.0,30.0,0.0,40.0,30.0
Pillier Individu,Apprendre,Formation /Atelier,Devenir formateur JCI en participant au Trainers Forum -international,Z,90.0,0.0,10.0,0.0,70.0,0.0,0.0,30.0
Pillier Individu,Apprendre,Formation /Atelier,Devenir formateur JCI en participant au Trainers Forum -national,N,90.0,0.0,10.0,0.0,70.0,0.0,0.0,30.0
Pillier Individu,Apprendre,Formation /Atelier,"Suivre les formations JCI (Discover, Adventure, Engage, RSE, Communication)",M,100.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0
Pillier Individu,Apprendre,Evenement,Participer à la JCI European Academy,Z,100.0,0.0,0.0,0.0,70.0,0.0,0.0,30.0
Pillier Individu,Apprendre,Evenement,Participer à la Francoformation,M,80.0,0.0,20.0,0.0,40.0,0.0,20.0,40.0
Pillier Individu,Apprendre,Evenement,Participer au JCI Europe Know How transfer,Z,70.0,10.0,10.0,10.0,60.0,0.0,0.0,40.0
Pillier Individu,Apprendre,Evenement,Participer à la Peace Makers Academy - JCI France,M,40.0,0.0,30.0,30.0,60.0,0.0,0.0,40.0
Pillier Individu,Apprendre,Evenement,Participer à la JCI European Debate Academy,Z,100.0,0.0,0.0,0.0,60.0,0.0,0.0,40.0
Pillier Individu,Apprendre,Evenement,Participer à la Globals Goals Academy - JCI Geneva,M,40.0,20.0,20.0,20.0,50.0,0.0,10.0,40.0
Pillier Individu,Apprendre,Evenement,Participer à la Strategy Academy - JCI Finland,Z,40.0,30.0,20.0,10.0,50.0,0.0,10.0,40.0
Pillier Individu,Apprendre,Evenement,Participer à la Mediterranean Academy,Z,50.0,10.0,20.0,20.0,40.0,0.0,20.0,40.0
Pillier Individu,Apprendre,Formation /Atelier,suivre les formations fondamentales,N,100.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0
Pillier Individu,Apprendre,Formation /Atelier,suivre les formations loading leader,N,100.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0
Pillier Individu,Apprendre,Formation /Atelier,suivre les formations leader accompli,N,100.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0
Pillier Individu,Apprendre,Formation /Atelier,suivre les webinaires thématiques jcef,N,50.0,10.0,20.0,20.0,80.0,0.0,0.0,20.0
Pillier Individu,Apprendre,Formation /Atelier,participer aux ateliers jcef,N,70.0,30.0,0.0,0.0,80.0,0.0,0.0,20.0
Pillier Individu,Apprendre,Formation /Atelier,devenir formateur concepteur,N,100.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0
Pillier Individu,Apprendre,Formation /Atelier,devenir formateur co-animateur JCEF,N,100.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0
Pillier Individu,Apprendre,Formation /Atelier,devenir formateur leader JCEF,N,100.0,0.0,0.0,0.0,80.0,0.0,0.0,20.0
Pillier Individu,Apprendre,Formation /Atelier,devenir formateur mentor JCEF,N,100.0,0.0,0.0,0.0,90.0,0.0,0.0,10.0
Pillier Individu,Apprendre,Formation /Atelier,Participer aux formations Global Leadership Masterclass,M,60.0,30.0,0.0,10.0,100.0,0.0,0.0,0.0
Pillier Individu,Apprendre,initiative /programme,Participer à l'initiative Shadow the President Programm,M,80.0,20.0,0.0,0.0,80.0,0.0,0.0,20.0
Pillier Individu,Célébrer,Concours,"Participer à l'initiative ""star recognition"" - membres",M,70.0,0.0,20.0,10.0,10.0,0.0,90.0,0.0
Pillier Individu,Célébrer,Concours,"Participer à l'initiative ""star recognition"" - président local",M,70.0,0.0,20.0,10.0,10.0,0.0,90.0,0.0
