;;dans quel type d'activité je m'engage;à quel niveau je m'engage;Pourquoi je m'engage ;Pourquoi je m'engage ;Pourquoi je m'engage ;Pourquoi je m'engage ;Comment je préfère m'engager ;Comment je préfère m'engager ;Comment je préfère m'engager ;Comment je préfère m'engager 
;;QUOI ?;Où ?;POURQUOI ?;POURQUOI ?;POURQUOI ?;POURQUOI ?;COMMENT ? ;COMMENT ? ;COMMENT ? ;COMMENT ? 
;;… sous la forme de …;J'explore le niveau …;Je veux développer …;Je veux développer …;Je veux développer …;Je veux développer …;Ce que j'ai plaisir à faire, c'est …;Ce que j'ai plaisir à faire, c'est …;Ce que j'ai plaisir à faire, c'est …;Ce que j'ai plaisir à faire, c'est …
Mouse-over;;;;Savoir-être, développement personnel, outils du citoyen responsable, défense des valeurs, éthique;Savoir-faire, compétences techniques de management et d'entrepreneuriat, relations économiques, réseau business, apprentissage par essai-erreur;Diplomatie internationale, interculturalité, communauté internationale unie, franchir les frontières, construction de projets inter-organisations;Service aux territoires et aux communautés, benchmark des actions, réflexion pour construire un monde meilleur;se former, monter en compétence et grandir;expérimenter l'exercice du pouvoir prendre la responsabilité, transmettre, diriger, coacher;célébrer les temps forts, fêter les réussites , marquer les jalons, réserver du temps pour prendre plaisir collectivement;faire de nouveaux contacts, élargir son réseau de pairs, échanger des cartes de visite, se réunir autour d'une table
Nom long;;;;Développement individuel;Entreprise et compétences professionnelles ;Coopération internationale;Service à la communauté;Apprendre;Prendre des responsabilités;Célébrer;Se rencontrer
Nom court;Opportunités;Forme;NIVEAU;Individu;Entreprise;International;Communauté;Apprendre;Prendre des responsabilités;Célébrer;Se rencontrer
;Suivre les formations fondamentales;Formation et Atelier;N;100.0;0.0;0.0;0.0;80.0;0.0;0.0;20.0
;Suivre les formations loading leader;Formation et Atelier;N;100.0;0.0;0.0;0.0;80.0;0.0;0.0;20.0
;Suivre les formations leader accompli;Formation et Atelier;N;100.0;0.0;0.0;0.0;80.0;0.0;0.0;20.0
;Suivre les webinaires thematiques JCEF;Formation et Atelier;N;50.0;10.0;20.0;20.0;80.0;0.0;0.0;20.0
;Participer aux ateliers JCEF;Formation et Atelier;N;70.0;30.0;0.0;0.0;80.0;0.0;0.0;20.0
;Devenir formateur concepteur;Formation et Atelier;N;100.0;0.0;0.0;0.0;80.0;0.0;0.0;20.0
;Devenir formateur co-animateur JCEF;Formation et Atelier;N;100.0;0.0;0.0;0.0;80.0;0.0;0.0;20.0
;Devenir formateur leader JCEF;Formation et Atelier;N;100.0;0.0;0.0;0.0;80.0;0.0;0.0;20.0
;Devenir formateur mentor JCEF;Formation et Atelier;N;100.0;0.0;0.0;0.0;90.0;0.0;0.0;10.0
;Participer aux formations global leadership masterclass;Formation et Atelier;M;60.0;30.0;0.0;10.0;100.0;0.0;0.0;0.0
;Animer les formations JCI (discover, adventure, engage, rse, communication);Formation et Atelier;L, R, N, Z, M;100.0;0.0;0.0;0.0;0.0;80.0;0.0;20.0
;Coanimer des formations;Formation et Atelier;L, R, N;100.0;0.0;0.0;0.0;30.0;50.0;0.0;20.0
;Animer des formations en tant que formateur leader;Formation et Atelier;L, R, N;50.0;0.0;0.0;50.0;0.0;80.0;0.0;20.0
;Coacher des formateurs JCEF en tant que formateur mentor;Formation et Atelier;N;100.0;0.0;0.0;0.0;0.0;80.0;0.0;20.0
;Concevoir ou mettre à jour des formations;Formation et Atelier;N;100.0;0.0;0.0;0.0;20.0;80.0;0.0;0.0
;Participer à la JCI japan academy;Formation et Atelier;M;80.0;0.0;20.0;0.0;40.0;0.0;0.0;60.0
;Participer au backpack project;Initiatives et Programmes;Z;0.0;10.0;50.0;40.0;0.0;0.0;0.0;100.0
;"Participer à l'initiative ""JCI business scaling program""";Initiatives et Programmes;M;20.0;70.0;10.0;0.0;80.0;0.0;0.0;20.0
;Participer à l'initiative JCI in business;Initiatives et Programmes;M;20.0;50.0;30.0;0.0;20.0;0.0;0.0;80.0
;Participer à l'initiative shadow the president;Initiatives et Programmes;M;80.0;20.0;0.0;0.0;80.0;0.0;0.0;20.0
;Faire le grand slam;Initiatives et Programmes;M;100.0;0.0;0.0;0.0;20.0;0.0;40.0;40.0
;Participer à l'initiative JCI mentor-mentee program;Initiatives et Programmes;M;100.0;0.0;0.0;0.0;0.0;30.0;0.0;70.0
;"Utiliser et remplir là ""European leaders map"" pour se rencontrer";Initiatives et Programmes;Z;40.0;30.0;30.0;0.0;0.0;0.0;0.0;100.0
;Monter des actions flash;Projet;L;0.0;0.0;0.0;100.0;20.0;60.0;0.0;20.0
;Organiser une journée de formation régionale ou locale;Projet;L, R;30.0;0.0;0.0;70.0;20.0;50.0;10.0;20.0
;Organiser un congrès régional;Projet;R;30.0;0.0;0.0;70.0;10.0;60.0;10.0;20.0
;Faire vivre un jumelage;Projet;M;0.0;10.0;50.0;40.0;10.0;20.0;40.0;30.0
;Organiser un jumelage;Projet;M;0.0;0.0;70.0;30.0;10.0;40.0;20.0;30.0
;Organiser une académie en France;Projet;M;30.0;10.0;50.0;10.0;10.0;50.0;10.0;30.0
;Organiser un évènement national (conférence des présidents, convention, congrès );Projet;N;10.0;40.0;10.0;40.0;30.0;50.0;0.0;20.0
